company_name,recruitment_email,company_info
Luminance,recruitment@luminance.com,AI-powered legal document analysis platform used for due diligence and contract review.
Graphcore,careers@graphcore.ai,Bristol-based AI hardware startup that develops intelligence processing unit (IPU) chips.
Graphcore,info@graphcore.ai,Provides high-performance AI compute systems and software for machine learning workloads.
Graphcore,press@graphcore.ai,Handles media inquiries for Graphcore's AI hardware products.
DeepMind,careers@deepmind.com,Leading UK AI research company focused on solving intelligence and advancing science.
Unitary,hello@unitary.ai,AI startup using computer vision to moderate harmful or sensitive visual content online.
Quantexa,info@quantexa.com,London-based AI company providing context-aware data analytics for fraud detection and customer intelligence.
Onfido,press@onfido.com,Digital identity verification startup using AI to check photo IDs and passports.
Onfido,info@onfido.com,Offers AI-driven identity verification and background check services for businesses.
Synthace,hello@synthace.com,Biotech company providing AI-powered cloud lab software for automating biological experiments.
Synthesia,support@synthesia.io,AI video generation platform that creates synthetic video content from text.
Aura Vision,privacy@auravision.ai,AI startup enabling retail analytics through computer vision for in-store customer behaviour.
MVision AI,info@mvision.ai,Healthtech company applying AI to radiotherapy planning and cancer imaging.
MVision AI,pr@mvision.ai,Media enquiries for the radiotherapy AI company MVision AI.
VEED.IO,hello@veed.io,Online video editing platform using AI to simplify editing and subtitling.
Anodot,info@anodot.com,AI analytics company that uses anomaly detection to monitor business and revenue metrics.
Clinithink,media@clinithink.com,Develops natural language processing software to extract insights from clinical narratives.
Quantemplate,support@quantemplate.com,Provides AI-driven data integration and analytics tools for insurance industry.
Muse.ai,info@muse.ai,Video search and hosting platform using AI to understand and index video content.
BigML,info@bigml.com,Machine-learning platform offering accessible tools for building and deploying models.
Wayve,hello@wayve.ai,London autonomous vehicle startup developing AI for self-driving cars using end-to-end deep learning.
Robin AI,support@robinai.com,Legal tech startup offering AI-powered contract review and management.
Robin AI,careers@robinai.com,Recruitment email for roles at the AI-driven contract software company.
Robin AI,press@robinai.com,Press and media contact for the contract automation startup.
Mind Foundry,info@mindfoundry.ai,Oxford-based AI company building responsible AI solutions for mission-critical applications.
Tines,hello@tines.com,"Irish-founded, London-based agentic automation platform enabling no-code workflows for security and operations."
Tines,analysts@tines.com,Email for analyst enquiries to the agentic automation platform.
Tines,pr@tines.com,Press contact for the automation and security startup Tines.
Xapien,dan@xapien.com,UK AI company offering due diligence automation and background intelligence reports.
Vortex IQ,hey@vortexiq.ai,Agentic AI startup helping e-commerce brands automate ad and content creation.
BRYTER,info@bryter.io,No-code AI automation platform for legal and compliance professionals.
Antidote,hello@antidote.me,Healthtech company using AI to match patients with clinical trials.
BigPanda,support@bigpanda.io,AI operations platform that uses machine learning to detect and resolve IT incidents.
BigPanda,community@bigpanda.io,Community support contact for the AIOps company BigPanda.
